Date,UserName,Comment,Like
2025-11-26T07:45:52Z,@keykey-x9c7v,ni mbodohi rakyat indonesia memanipulasi uang indonesia memiskin takyat indonesia scr sistem  n harus digugat sluruh rakyat indonesia ke MK ... INI NMY KITA  GA MENGHARGAI KERJAKERAS N UANG N HARTA KITA KERJA KERAS ORGTUA KT..ANDA MAU NILAI HARTA ANDA 1 MILYAR JADI SEJUTA N BILA DI MONEY CHANGER DI LUARNEGRI  1 JUTA ANDA YAG  1 MILYA R DINILAI  CM 700$ DILUAR NEGRI ...S 700$ DI NEGASRA BRT CUMA BERTAHAN GA LEBIIH DR 2 MINGGU YANG ARTINYA 1 MILYAR MU DI INDONESIA SM DENGAN  1JUTA  M 1 JUTA MU DI MONEY CHANGER LUAR NEGRI SENILAI 700$ SUNGGUH MEDMISKIN N MNYENGSARAKAN INDONESIA SCR SISTEMATIS... TOLAK ITU SEMUA DR INDONMESIA,0
2025-11-26T04:45:38Z,@ArshadSudrajat-e7x,"Ilmu anda itu ga da apa2 nya di bandingin dengan ilmu pak Purbaya,, beliau orang pintar, pak Purbaya kalau sudah mengambil tindakan dan keputusan itu pasti sudah melalui pemikiran yang matang,<br>Anda dan orang2 yang membuat video seakan menolak redenominasi itu hanya takut miskin, iya anda hanya takut kelihatan miskin, padahal kalau rupiah di redenominasi orang yang kaya harta uangnya,  nol nya akan tetap terlihat lebih di banding harta uang orang miskin, misalnya setelah rupiah di redenominasi yang kaya punya uang 1000 yang miskin hanya punya 1 rupiah, tetap ada perbedaan yang kaya dan yang miskin,,<br>Redenominasi membawa banyak manfaat dan keuntungan bagi masyarakat dan negara Indonesia yang kita cintai,,<br>Janganlah takut, orang yang kaya akan tetap punya harta yang lebih di banding dengan orang miskin<br>Terima kasih pak Purbaya Yudi Sadewa telah mengambil keputusan yang baik untuk Indonesia 🙏<br>Maju terus Indonesia ku 💪",0
2025-11-26T04:40:15Z,@the-trading-monk,"Anak muda ini dulu terdengar sok &amp; memilih escape plan kegagalannya beserta tim senilai puluhan Milyar. Tapi saat ini presentasi sudah semakin baik &amp; analisa yang dibuat semakin tajam. Keren Raymond, at least you&#39;re better than your rival.",0
2025-11-26T03:42:47Z,@kirimajabreekirimajabree,redenominasi buang buang anggaran karena harus nyetak duit baru buat gantiin yg lama,0
2025-11-26T02:23:45Z,@hairulpratama6330,"Khusus pemerintah g usah sibuk gantiin nominal huruf di uang yg lu harus urus gmn nih biar masyarakatnya bisa ngerubah semua ekonominya,percuma lu Gonta ganti gmn uang klw bahkan megang uang 1000 pun dalam sehari udah bersyukur bngt klw ada,yg di fikirin gmn buka lapangan kerja,tanpa melihat usia beda tetangga sebelah yg penting bisa kerja kerja g harus sekolah tinggi&quot; itupun sekolah tinggi&quot; nasib&quot; dapat kerjaan emang beda dari lain ini negara,gmn gak banyak masyarakat ngerantau buat keseharian aja di negara ini bikin pusing,",0
2025-11-25T22:29:16Z,@rikicikay3765,Uang receh nya jangan di ilangkan biar aman tinggal ilangin nol nya aja mudah ko dan pihak semua bang harus ada jaminan penukaran uang biar bisa aman buat ada kembalian bila harga 7 rupiah uang nya 10 rupia jadi ada kembalian 3 rupiah mudah2 sukses buat Indonesia ❤❤❤,0
2025-11-25T20:23:21Z,@dhany3630,Menurut saya uang di negara +62 ini angkanya gede banget tp nilainya kecil banget itu pun usahanya  udah gede banget contohnya gini kita kerja keras jadi rkyat kecil gajinya gak seberapa itu kalo buat makan 1 kluarga blum tentu cukup,0
2025-11-25T16:49:48Z,@GSi-iv,Klo koruptor pegangnya dollar???,0
2025-11-25T14:32:53Z,@GARUDAJEPANG,Hanya koruptor. Oligarki. Partai politik kotor. Bisnis ilegal. Percetakan uang palsu dan bazer yg di bayar yg tidak mau redenominasi terjadi,1
2025-11-25T12:37:13Z,@azaqqichanel4731,Untuk emas LM redominasi berpengaruh ga ya? Mohon info nya kak.. trimakasih jawabannya,0
